 Device e/o servizi ;OPEX; Caratteristiche ;;;Modello (ove disponibile) ;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;IVA;1,22
;o;CPU ; RAM ;Tera;;peso;Quantità;;;;;;;;;;
;CAPEX;;;byte ;;;;;;;;;;;;;
Mirantis - DR;OPEX;;;;N. DI CORE ( costo per Core);100%;1;370,00 €;370,00 €;370,00 €;370,00 €;370,00 €;370,00 €;2.220,00 €;;;
Mirantis - PreProd;OPEX;;;;N. DI CORE ( costo per Core);100%;1;332,00 €;332,00 €;332,00 €;332,00 €;332,00 €;332,00 €;1.992,00 €;;;
OpenShift - Prod;OPEX;;;;N. DI CORE ( costo per Core);25%;1;210,72 €;210,72 €;210,72 €;210,72 €;210,72 €;210,72 €;1.264,29 €;;;
OpenShift - DR 1 core;OPEX;;;;N. DI CORE ( costo per Core);25%;1;141,73 €;141,73 €;141,73 €;141,73 €;141,73 €;141,73 €;850,38 €;;;
OpenShift - Standard;OPEX;;;;N. DI CORE ( costo per Core);25%;1;141,73 €;141,73 €;141,73 €;141,73 €;141,73 €;141,73 €;850,38 €;;;
Monitoraggio Dynatrace;OPEX;;;;1 ogni 16 gb di ram;100%;1;951,60 €;951,60 €;951,60 €;951,60 €;951,60 €;951,60 €;5.709,60 €;;;
Dynatrace SaaS - Full Stack Monitoring (1 GB / Year) ;OPEX;;;;1 GB di ram per anno;100%;1;39,79 €;39,79 €;39,79 €;39,79 €;39,79 €;39,79 €;238,74 €;;;
Dynatrace SaaS -Infrastructure Monitoring (1 VM / Year);OPEX;;;;1 VM per anno ;100%;1;159,12 €;159,12 €;159,12 €;159,12 €;159,12 €;159,12 €;954,70 €;;;
Dynatrace SaaS -K8s Platform Monitoring (1 POD / Year);OPEX;;;;1 POD per anno ;100%;1;14,86 €;14,86 €;14,86 €;14,86 €;14,86 €;14,86 €;89,13 €;;;
Dynatrace SaaS -Log Management & Analytics - Ingest & Process (1 GB );OPEX;;;;Costo a GB inviato e processato per ora (indicare TOT Ingestion Giornaliera);100%;1;741,16 €;741,16 €;741,16 €;741,16 €;741,16 €;741,16 €;4.446,94 €;;;
Dynatrace SaaS -Log Management & Analytics - Retain (1 GB / Day );OPEX;;;;Costo a GB con retention di 30 gg (calcola il costo sul valore dell'ingestion);100%;30;0,53 €;0,53 €;0,53 €;0,53 €;0,53 €;0,53 €;3,20 €;;;
Monitoraggio Splunk;OPEX;;;;Costo al GIGA;100%;1;604,63 €;604,63 €;604,63 €;604,63 €;604,63 €;604,63 €;3.627,79 €;;;
MongoDB - Produzione;OPEX;;;;N° nodi di produzione;100%;1;14.761,44 €;14.761,44 €;14.761,44 €;14.761,44 €;14.761,44 €;14.761,44 €;88.568,64 €;;;
MongoDB - PreProduzione;OPEX;;;;N° nodi di pre-produzione;100%;1;7.380,72 €;7.380,72 €;7.380,72 €;7.380,72 €;7.380,72 €;7.380,72 €;44.284,32 €;;;
Postgres SQL - Produzione;OPEX;;;;N° core Produzione;100%;1;1.524,85 €;1.524,85 €;1.524,85 €;1.524,85 €;1.524,85 €;1.524,85 €;9.149,12 €;;;
Postgres SQL - Pre-Produzione;OPEX;;;;N° core di Pre-Produzione;100%;1;998,08 €;998,08 €;998,08 €;998,08 €;998,08 €;998,08 €;5.988,49 €;;;
