 Device e/o servizi ;OPEX; Caratteristiche ;;;Modello (ove disponibile) ;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;IVA;1,22
;o;CPU ; RAM ;Tera;;peso;Quantità;;;;;;;;;;
;CAPEX;;;byte ;;;;;;;;;;;;;
Catalogo Componenti Infrastrutturali;;;;;;;;;;;;;;;;;
Server virtuale - 4 vCore - Generic;OPEX;4;16;;Senza OS, senza Vmware ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Server virtuale - 8 vCore - Generic;OPEX;8;32;;Senza OS, senza Vmware ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Worker - 16 vCore - No Prod;OPEX;16;32;;Senza OS, senza Vmware ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Worker - 16 vCore - Prod;OPEX;16;32;;Senza OS, senza Vmware ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Backup – Front-end ;OPEX;;;1;Uguale a storage PROD;;0,00;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Backup – Back-end;OPEX;;; 1 ;Uguale a storage * 5;;0,00;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Storage - SSD;OPEX;;;1;Replicato;;0,00;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Storage - SSD non replicati;OPEX;;;1;Non replicato;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Database Oracle (non RAC) - gestione istanze;OPEX;;;;Operation - management DBMS instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Database Ms SQL - gestione istanze;OPEX;;;;Operation - management DBMS instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
DB2 Blu - gestione istanze ;OPEX;;;;Operation - management DBMS instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
NoSQLDB - gestione istanze ;OPEX;;;;Operation - management DBMS instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Middleware IIS / Apache - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Middleware Tomcat/Jboss - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Middleware WebSphere - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Middleware WebLogic - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Middleware Kubernetes - gestione Pod Deployment;OPEX;;;;Numero Pod Deployment moltiplicato per ogni ambiente rilasciato;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Middleware Kubernetes - gestione NameSpace;OPEX;;;;Numero Namespace moltiplicato per ogni ambiente rilasciato;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Oracle OCPU;OPEX;;;;Numero di Ocpu richieste per progetto (Ocpu);;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Oracle STORAGE;OPEX;;;;Numero di storage oracle per progetto (Tera) ;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
;;;;;;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;;
TOTALE RUNNING TIM/ACN ;OPEX ;;;;;;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Catalogo Licenze;;;;;;;;;;;;;;;;;
RED HAT;OPEX;;;;RedHAt Sistema Operativo (somma core redhat no openshift, diviso 3) ;0;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
JBOSS PREPROD;OPEX;;;;N° core, licenza da 16 core;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
JBOSS PROD;OPEX;;;;N° core, licenza da 16 core;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Websphere PREPROD;CAPEX;;;;LICENZA PER PVU (1 pvu 70*N.TOT CORE DEL SERVER FISICO) -inserire nel campo quantità il numero dei core del server fisico o 0;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Websphere PROD;CAPEX;;;;LICENZA PER PVU (1 pvu 70*N.TOT CORE DEL SERVER FISICO) -inserire nel campo quantità il numero dei core del server fisico o 0;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
TWS PER JOB;CAPEX;;;;N. JOB ESEGUITI IN UN MESE;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
