 Device e/o servizi ;OPEX; Caratteristiche ;;;Modello (ove disponibile) ;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;IVA;1,22
Vmware (89 euro per core per anno, numero core virtuali /3) ;OPEX;;;;N. DI CORE ( costo per Core FISICO- stima 3 core virtuali=1core Fisico);;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
SRM Prod;CAPEX;;;;N. MACCHINE VIRTUALI;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Mirantis - Prod;OPEX;;;;N. DI CORE ( costo per Core);100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Mirantis - DR;OPEX;;;;N. DI CORE ( costo per Core);100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Mirantis - PreProd;OPEX;;;;N. DI CORE ( costo per Core);100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
OpenShift - Prod;OPEX;;;;N. DI CORE ( costo per Core);100%;1;842,86 €;842,86 €;842,86 €;842,86 €;842,86 €;842,86 €;5.057,17 €;;;
OpenShift - DR 1 core;OPEX;;;;N. DI CORE ( costo per Core);100%;1;566,92 €;566,92 €;566,92 €;566,92 €;566,92 €;566,92 €;3.401,53 €;;;
OpenShift - Standard;OPEX;;;;N. DI CORE ( costo per Core);100%;1;566,92 €;566,92 €;566,92 €;566,92 €;566,92 €;566,92 €;3.401,53 €;;;
Monitoraggio Dynatrace;OPEX;;;;1 ogni 16 gb di ram;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Dynatrace SaaS - Full Stack Monitoring (1 GB / Year) ;OPEX;;;;1 GB di ram per anno;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Dynatrace SaaS -Infrastructure Monitoring (1 VM / Year);OPEX;;;;1 VM per anno ;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Dynatrace SaaS -K8s Platform Monitoring (1 POD / Year);OPEX;;;;1 POD per anno ;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Dynatrace SaaS -Log Management & Analytics - Ingest & Process (1 GB );OPEX;;;;Costo a GB inviato e processato per ora (indicare TOT Ingestion Giornaliera);100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Dynatrace SaaS -Log Management & Analytics - Retain (1 GB / Day );OPEX;;;;Costo a GB con retention di 30 gg (calcola il costo sul valore dell'ingestion);100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Monitoraggio Splunk;OPEX;;;;Costo al GIGA;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
MongoDB - Produzione;OPEX;;;;N° nodi di produzione;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
MongoDB - PreProduzione;OPEX;;;;N° nodi di pre-produzione;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Postgres SQL - Produzione;OPEX;;;;N° core Produzione;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Postgres SQL - Pre-Produzione;OPEX;;;;N° core di Pre-Produzione;100%;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Ws02 - core solo produzione;OPEX;;;;;100%;0;0,00 €;;;;;;;;;
;;;;;;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;;
TOTALE Licenze Investimento ;CAPEX ;;;;;;;0,00 €;;;;;;0,00 €;;;
Totale Licenze Dynatrace OPEX;OPEX ;;;;;;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Totale Licenze OPEX;OPEX;;;;;;;1.976,71 €;1.976,71 €;1.976,71 €;1.976,71 €;1.976,71 €;1.976,71 €;11.860,23 €;;;
Attività Progettuali;;;;;;;;;;;;;;;;;
Architettura/progettazione;CAPEX;;;;Progettazione della soluzione / Low Level Design ;;0;;;;;;;;;;
Architettura/Quality;CAPEX;;;;Quality Assurance;;0;;;;;;;;;;
Infrastruttura/Predisposizione dell’infrastruttura ;CAPEX ;;;;Infrastruttura ambiente di pronta allo sviluppo (includendo utenze tecniche, secret , ecc…) (630 Euro * N° Giornate)  ;;0;0,00 €;;;;;;;;;
Infrastruttura/Creazione o modifica delle pipeline di deploy ;CAPEX;;;;Sviluppo pipeline (Giornate 525*giornate);100%;0;0,00 €;;;;;;;;;
Infrastruttura/Predisposizione per la parte di osservability ;CAPEX;;;;Sviluppo Dashboard di monitoraggio, allarmistica.  (630 Euro * N° Giornate);100%;0;0,00 €;;;;;;;;;
Infrastruttura/Esecuzione dei test di carico;CAPEX;;;;Stress test + Valutazione ( Media di 450€/gg) minimo 20 gg;100%;0;0,00 €;;;;;;;;;
Infrastrutture/Major Change;OPEX;;;;Realizzazioni Infrastrutturale ACN (RFC) - 490 € /gg;100%;0;0,00 €;;;;;;;;;
Infrastrutture/Verifica e test di esercibilità, manuali di esercibilità ;OPEX;;;;Test esercibilità  - 490 € /gg;;0;0,00 €;;;;;;;;;
Test Factory/ Governance dei test, NRT, Predisposizone Test ;CAPEX;;;;;;;;;;;;;;;;
;;;;;;;;Costo Progettuale;;;;;;;;;
Totale Attività Progettuali Investimento ;CAPEX ;;;;;;;0,00 €;;;;;;;;;
Totale Oneri One-Off;OPEX;;;;;;;0,00 €;;;;;;;;;
"Catalogo Componenti CLOUD
Costi di Gestione ACN";;;;;AWS - GCP - Azure;;;Costo Anno 1;Costo Anno 2;Costo Anno 3;Costo Anno 4;Costo Anno 5;Costo Anno 6;;;;
Kubernetes Cluster;OPEX;;;;N° di cluster moltiplicato per ogni ambiente;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Middleware Kubernates - gestione NameSpace;OPEX;;;;Numero Namespace moltiplicato per ogni ambiente rilasciato;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Middleware Kubernates - gestione Pod Deployment;OPEX;;;;Numero Pod Deployment moltiplicato per ogni ambiente rilasciato;;0;0,00 €;0,00 €;;;;;0,00 €;;;
VM - EC2 - Compute Engine - VMs;OPEX;;;;N° di VM;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Storage Object Based Storage;OPEX;;;;N° di OBS;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Storage Disks;OPEX;;;;N° di dischi;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - PostgreSql - EDB on Microservice;OPEX;;;;N° di istanze (DB Engine);;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - PostgreSql - PaaS;OPEX;;;;N° di risorsa cloud;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - SQL Server - IaaS;OPEX;;;;N° di istanze (DB Engine) n° VM;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - SQL Server - PaaS;OPEX;;;;N° di istanze (DB Engine) RDS - Cloud SQL - SQL Database - ;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - MySQL - IaaS;OPEX;;;;n° VM;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - MySQL - PaaS;OPEX;;;;RDS, Aurora - CloudSQL, AlloyDB - DB for MySQL;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Networking;OPEX;;;;N° di VNet ;;0;0,00 €;0,00 €;;;;;0,00 €;;;
CISCO MCD - WAF & Firewall;OPEX;;;;N° di appliance;;0;0,00 €;0,00 €;;;;;0,00 €;;;
F5 - WAF;OPEX;;;;N° di appliance;;0;0,00 €;0,00 €;;;;;0,00 €;;;
F5 - API;OPEX;;;;N° di Istanze;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Middleware;OPEX;;;;N° di istanze;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Monitoring;OPEX;;;;N° di istanze;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Security Management;OPEX;;;;N° di organization;;0;0,00 €;0,00 €;;;;;0,00 €;;;
Database - NoSQL - PaaS;OPEX;;;;N° di istanze (DB Engine);;0;0,00 €;0,00 €;;;;;0,00 €;;;
Storage;OPEX;;;;SMB file share;;0;0,00 €;0,00 €;;;;;0,00 €;;;
;;;;;;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;;
TOTALE RUNNING ACN CLOUD;OPEX ;;;;;;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
